email,Year,Company,Code of Ethics,Whistleblower Policy,Cyber Security Policy,Conflict of Interest Policy,Regulatory Policy,Certifications of Industry Standards,% Trained on Cyber Security,Describe Sustainability Progam,% Trained on Sustainability,% Locations ISO Certified,How many sites need environmental remediation,Maternity/Paternity Leave Offered,Education Benefits Offered,% Company Emplyoyee Owned,How many employees in a Union,Do you provide volunteer opportunities,How many total hours volunteered,Do you provide donation matching,Dollar amount of matching donation,Did the company make any donations,Dollar amount of company donations,Directors on Board,Women Directors,POC Directors,Independent Directors,Audi Committee Active,Compensation Committee Active,ESG Committee Active,Number of Leaders at VP Level or above,Number of Women leaders,Number of POC leaders,Number of Latinx leaders,Health Insurance Offered,Paid Sick Leave Offered,Retirement Savings Offered
rmosdall1f@npr.org,09/13/2022,ACME,Yes,Yes,Yes,No,No,No,0.7183,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",0.5525,0.0733,0,Yes,No,0.1005,76,Yes,4366,Yes,25280,No,67149,10,0,9,7,No,Yes,No,17,3,14,16,No,No,No
mcallery1g@cbc.ca,01/14/2022,CCME,Yes,No,No,No,No,Yes,0.2854,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",0.4554,0.1394,0,No,Yes,0.8444,24,No,2258,No,72756,No,95274,10,1,1,6,Yes,Yes,No,6,20,1,18,Yes,No,Yes
shuot1h@bluehost.com,12/25/2022,BCME,No,No,No,Yes,No,No,0.5638,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0.5718,0.793,3,Yes,Yes,0.6161,52,Yes,1598,No,15543,No,89567,1,12,6,10,Yes,Yes,No,7,12,18,0,Yes,Yes,Yes
gjeffry1i@marriott.com,06/21/2020,CCME,No,Yes,Yes,Yes,No,Yes,0.4965,Sed ante. Vivamus tortor. Duis mattis egestas metus.,0.9266,0.9647,3,No,No,0.2006,40,Yes,4208,Yes,15961,Yes,51722,8,3,1,11,No,Yes,Yes,5,3,9,0,No,Yes,No
lmaccawley1j@desdev.cn,02/09/2021,CCME,Yes,Yes,No,Yes,Yes,No,0.1041,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",0.5892,0.2301,4,No,Yes,0.0821,74,No,5465,Yes,73779,No,98531,8,0,8,3,Yes,No,Yes,9,6,19,0,No,Yes,Yes
hfoale1k@is.gd,08/02/2020,CCME,Yes,No,Yes,No,No,No,0.4264,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0.309,0.2543,4,Yes,Yes,0.9748,76,No,8984,No,2703,No,65064,5,8,1,1,No,No,No,2,17,1,0,Yes,Yes,No
hbogges1l@businessweek.com,03/13/2020,ACME,Yes,Yes,No,No,No,Yes,0.1542,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,0.3358,0.862,3,No,No,0.1699,90,No,7785,No,63185,Yes,73949,11,2,3,9,Yes,Yes,No,0,5,7,5,Yes,Yes,Yes
moconcannon1m@wufoo.com,04/23/2020,BCME,No,No,Yes,No,Yes,No,0.7915,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",0.8722,0.8257,5,Yes,Yes,0.4654,65,No,5244,Yes,17316,No,2217,3,7,7,0,Yes,Yes,Yes,20,4,7,9,No,Yes,Yes
gbore1n@wunderground.com,05/25/2020,BCME,No,No,Yes,No,Yes,No,0.3961,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",0.1927,0.0513,4,Yes,Yes,0.9686,4,Yes,5261,Yes,96389,No,85281,8,0,7,11,Yes,Yes,Yes,2,8,8,9,No,No,Yes
mcozens1o@is.gd,03/06/2020,BCME,No,No,Yes,No,No,No,0.4935,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",0.057,0.8013,5,No,No,0.1124,36,Yes,774,Yes,4966,No,13676,11,1,11,7,No,Yes,No,7,18,15,12,No,Yes,Yes
nphillcox1p@ifeng.com,05/22/2020,ACME,No,No,No,Yes,Yes,No,0.3276,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",0.2661,0.4422,2,Yes,Yes,0.2348,16,No,1540,Yes,27682,Yes,44757,1,10,3,2,Yes,Yes,Yes,17,10,13,5,No,Yes,No
jdinnis1q@360.cn,10/05/2022,ACME,Yes,No,No,No,No,Yes,0.3829,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",0.341,0.1543,0,Yes,Yes,0.96,40,No,7215,No,21694,Yes,70793,3,2,2,4,No,Yes,No,15,17,12,5,No,No,No
jtreacy1r@fda.gov,12/08/2020,ACME,Yes,No,No,No,No,Yes,0.3209,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",0.8363,0.4297,4,No,No,0.8441,58,Yes,3556,Yes,70423,Yes,15064,12,2,2,2,Yes,No,Yes,14,13,14,18,Yes,Yes,Yes
cammer1s@icq.com,02/09/2021,CCME,Yes,No,Yes,Yes,No,Yes,0.0527,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",0.6781,0.651,1,Yes,No,0.9366,76,Yes,5672,Yes,69475,Yes,53674,4,12,4,7,No,Yes,No,6,7,6,0,Yes,Yes,Yes
astilling1t@scribd.com,09/10/2020,ACME,Yes,No,Yes,Yes,No,No,0.7687,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",0.905,0.931,2,Yes,Yes,0.8997,92,Yes,1489,Yes,11124,No,18709,12,8,12,5,Yes,No,Yes,2,7,0,13,Yes,No,No
gmacdonough1u@msn.com,12/19/2022,BCME,Yes,No,Yes,No,No,No,0.6354,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",0.8627,0.5149,3,Yes,Yes,0.5737,35,Yes,3838,No,38457,No,30395,4,5,9,12,Yes,No,Yes,12,13,12,0,Yes,No,No
dhaysey1v@bizjournals.com,12/25/2020,BCME,Yes,No,No,No,No,Yes,0.343,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",0.2735,0.4918,4,No,Yes,0.1667,72,No,7365,No,5574,Yes,64370,6,12,8,10,Yes,No,Yes,5,14,7,17,Yes,Yes,No
gmacguire1w@twitpic.com,11/14/2021,ACME,No,No,Yes,No,No,No,0.3648,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0.7923,0.0865,3,No,No,0.0285,90,Yes,717,No,83239,Yes,20265,10,9,12,12,No,No,Yes,10,14,18,8,No,Yes,Yes
ngowrie1x@si.edu,12/12/2021,CCME,No,Yes,Yes,No,No,No,0.5414,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",0.7112,0.8576,5,No,No,0.7014,7,No,7263,Yes,89259,Yes,80451,10,9,12,7,No,No,No,11,5,14,10,No,Yes,No
jhefford1y@alibaba.com,06/21/2022,ACME,No,Yes,Yes,No,No,No,0.8836,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0.6411,0.7638,5,Yes,No,0.4387,88,No,4293,Yes,26500,No,45809,4,10,6,11,Yes,Yes,Yes,3,11,9,12,No,Yes,Yes
sleguay1z@pcworld.com,01/07/2020,ACME,No,No,No,Yes,No,No,0.1198,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",0.4269,0.1963,2,Yes,No,0.9417,29,No,5777,Yes,53049,No,60914,5,1,0,5,No,Yes,No,13,2,6,3,No,Yes,Yes
uamsden20@time.com,08/20/2022,CCME,Yes,No,No,No,Yes,Yes,0.6642,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",0.4816,0.9296,0,Yes,Yes,0.7191,88,No,9078,Yes,93067,No,37403,8,7,6,1,Yes,Yes,No,6,7,5,19,Yes,Yes,Yes
ktatem21@eventbrite.com,02/06/2021,CCME,No,No,No,Yes,No,Yes,0.6422,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0.1728,0.5132,1,No,No,0.4384,68,No,5914,Yes,21177,No,37222,6,4,11,6,Yes,Yes,Yes,14,0,0,9,No,No,No
mblood22@un.org,10/21/2021,BCME,No,Yes,Yes,Yes,Yes,Yes,0.5572,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,0.8442,0.4317,3,Yes,No,0.3715,18,Yes,4085,No,6065,Yes,92888,3,10,5,7,Yes,No,Yes,2,3,4,5,No,No,No
frhelton23@uiuc.edu,02/04/2022,BCME,Yes,Yes,Yes,No,No,Yes,0.6241,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0.0018,0.2092,1,Yes,Yes,0.5886,95,Yes,7533,No,84787,No,85913,11,10,0,12,No,No,No,11,0,19,11,Yes,No,No
hsponer24@latimes.com,08/11/2020,CCME,Yes,No,Yes,Yes,Yes,Yes,0.6739,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0.152,0.6934,2,No,No,0.0431,31,No,8504,Yes,41414,Yes,81150,3,6,2,12,Yes,No,Yes,10,19,10,12,Yes,Yes,Yes
cwinterbourne25@pagesperso-orange.fr,04/03/2020,ACME,Yes,Yes,Yes,No,No,No,0.0144,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,0.9076,0.4985,5,No,No,0.498,21,No,9256,Yes,17640,Yes,84509,9,9,11,4,No,No,No,14,3,11,13,Yes,Yes,Yes
rgut26@1und1.de,05/05/2020,ACME,Yes,No,Yes,No,Yes,No,0.5023,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",0.7561,0.9023,5,Yes,No,0.7237,72,No,1679,Yes,67969,No,65128,7,2,4,7,No,Yes,Yes,12,16,4,9,Yes,Yes,Yes
adally27@prweb.com,12/28/2022,ACME,No,No,No,No,Yes,Yes,0.3973,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",0.421,0.085,0,Yes,Yes,0.4887,52,No,562,No,60687,Yes,95351,9,11,7,11,No,Yes,No,4,14,19,1,No,No,Yes
rdumberell28@csmonitor.com,10/30/2022,CCME,Yes,Yes,Yes,No,Yes,No,0.7086,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",0.7871,0.1825,3,Yes,No,0.916,18,No,9131,Yes,97671,Yes,37873,3,4,8,3,Yes,Yes,Yes,1,17,3,18,Yes,Yes,Yes
cfairney29@indiegogo.com,11/01/2021,BCME,Yes,No,No,No,Yes,Yes,0.1532,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",0.6352,0.0795,1,Yes,Yes,0.4594,65,No,393,Yes,58856,No,27817,9,9,11,9,No,No,No,5,14,13,3,No,Yes,Yes
fcotmore2a@ebay.com,09/24/2022,CCME,Yes,Yes,No,No,No,Yes,0.8629,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",0.2135,0.6122,1,Yes,Yes,0.7645,59,No,2319,Yes,63998,No,64539,2,8,3,11,No,No,Yes,11,17,17,11,Yes,Yes,Yes
chaig2b@devhub.com,08/08/2020,BCME,No,No,No,Yes,No,Yes,0.4227,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0.5671,0.3809,0,No,No,0.7473,5,No,2307,Yes,89341,No,77581,2,10,5,0,No,Yes,No,8,1,7,4,Yes,Yes,Yes
tpaylor2c@soup.io,09/23/2022,CCME,No,Yes,No,Yes,Yes,No,0.1637,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.4071,0.6637,2,Yes,Yes,0.9118,41,Yes,690,No,79910,No,79095,0,12,12,0,No,No,No,8,8,3,8,No,No,Yes
igwatkins2d@mozilla.org,07/06/2021,ACME,No,No,No,Yes,Yes,No,0.7319,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0.2443,0.544,3,Yes,Yes,0.5387,38,Yes,6512,No,93019,No,64140,0,5,6,12,No,Yes,Yes,13,15,11,0,No,No,Yes
wgreenlees2e@ox.ac.uk,07/20/2021,ACME,No,No,No,No,Yes,No,0.4713,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",0.9952,0.0437,5,Yes,No,0.7703,27,No,858,Yes,6115,No,78268,12,7,4,3,No,No,Yes,14,13,8,15,No,Yes,Yes
scallard2f@economist.com,04/09/2022,ACME,Yes,No,No,Yes,Yes,No,0.785,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0.115,0.2718,2,Yes,No,0.2097,97,No,8396,Yes,8846,No,2369,10,3,12,10,No,Yes,Yes,19,8,20,19,Yes,Yes,No
fcockley2g@noaa.gov,01/20/2020,CCME,Yes,No,Yes,No,Yes,Yes,0.3632,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,0.4629,0.2012,4,Yes,No,0.8058,86,Yes,9790,Yes,36115,No,18337,12,5,2,3,Yes,Yes,Yes,3,13,20,8,Yes,No,No
lfish2h@cnet.com,08/21/2021,ACME,No,No,Yes,No,No,No,0.7466,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0.4423,0.4098,3,Yes,No,0.7708,31,No,3790,Yes,75571,No,70744,6,10,8,10,Yes,No,Yes,14,13,8,6,Yes,Yes,Yes
lmoat2i@privacy.gov.au,05/27/2020,ACME,Yes,No,No,No,No,No,0.0276,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",0.5782,0.7772,3,Yes,No,0.6466,18,No,2659,No,50034,No,94747,4,1,6,12,No,Yes,Yes,18,4,18,8,No,Yes,No
ckoppes2j@163.com,03/19/2020,ACME,No,No,No,Yes,Yes,No,0.2379,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",0.4873,0.7727,1,Yes,No,0.1972,72,No,9646,Yes,69346,Yes,99913,6,5,4,4,No,No,Yes,8,9,8,2,No,No,Yes
nsmy2k@mail.ru,11/29/2020,ACME,Yes,Yes,Yes,Yes,Yes,No,0.9559,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",0.2295,0.4841,5,Yes,Yes,0.2967,75,Yes,764,Yes,9104,Yes,91003,2,11,2,2,No,No,No,3,20,5,4,No,Yes,Yes
mizaks2l@cornell.edu,08/22/2020,CCME,Yes,Yes,No,Yes,Yes,No,0.6289,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.7606,0.1809,1,No,Yes,0.6469,20,No,467,No,21039,Yes,24767,10,9,1,9,No,No,Yes,5,9,4,7,No,No,No
erettie2m@home.pl,12/11/2022,BCME,Yes,No,No,No,Yes,Yes,0.116,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.4709,0.6411,2,No,No,0.3085,33,No,4131,Yes,69177,No,63291,4,10,1,8,No,No,Yes,6,0,8,16,No,No,No
rpollett2n@epa.gov,05/05/2022,CCME,No,Yes,Yes,Yes,Yes,Yes,0.7462,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0.2884,0.1771,4,Yes,No,0.2228,22,No,6193,Yes,72909,Yes,58103,10,7,10,6,No,No,Yes,12,5,15,8,Yes,No,No
akorfmann2o@pcworld.com,06/26/2022,ACME,Yes,No,Yes,No,Yes,Yes,0.4758,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",0.4923,0.0327,3,No,Yes,0.632,20,No,5779,Yes,14329,Yes,84931,1,0,0,12,Yes,Yes,No,0,3,1,18,Yes,Yes,No
apentercost2p@issuu.com,05/27/2020,BCME,No,Yes,Yes,Yes,No,Yes,0.5491,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",0.0833,0.2881,1,No,No,0.5891,12,Yes,3516,No,51126,Yes,15604,5,3,6,1,Yes,No,Yes,9,16,17,1,Yes,Yes,Yes
frigeby2q@miitbeian.gov.cn,06/24/2022,BCME,No,No,No,No,Yes,Yes,0.0193,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,0.3216,0.9792,1,No,No,0.4895,88,Yes,7738,Yes,64927,No,8163,3,0,1,7,No,Yes,Yes,10,15,1,16,No,No,No
mdutson2r@amazon.co.uk,06/11/2022,ACME,Yes,No,No,No,Yes,Yes,0.4168,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",0.4392,0.2743,0,No,Yes,0.6653,36,Yes,2602,No,74952,No,49549,10,2,0,7,Yes,No,No,7,17,12,14,Yes,No,No
massiter2s@stanford.edu,03/26/2020,CCME,Yes,Yes,No,Yes,Yes,No,0.6217,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",0.2539,0.6593,1,No,Yes,0.7315,88,No,8911,No,48504,Yes,2910,4,0,3,1,No,Yes,Yes,6,13,0,20,Yes,Yes,Yes
ckleinschmidt2t@ebay.com,12/02/2022,CCME,Yes,Yes,Yes,Yes,Yes,No,0.7248,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,0.616,0.4151,1,No,Yes,0.6929,56,Yes,3114,Yes,1130,Yes,55399,12,8,1,5,No,Yes,Yes,3,8,10,10,Yes,No,Yes
fdenyukhin2u@netscape.com,10/30/2021,CCME,No,Yes,No,Yes,No,Yes,0.3336,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",0.6331,0.1491,4,No,Yes,0.5908,54,No,1691,No,747,No,28354,7,11,11,4,Yes,Yes,No,16,2,5,7,Yes,No,Yes
